PLAYER NAME,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_BLK KICK,AVG_DEF TD,AVG_FAN PTS,AVG_FUMR,AVG_INT,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_PASS_YDS,AVG_PTS VS.,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RET TD,AVG_RK,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_SAFE,AVG_TGT,AVG_XPA,AVG_XPM,AVG_YDS,BEST_RK,BLK KICK,BOOM,BUST,DEF TD,DEPTH,FAN PTS,FULL_SOS,FUMR,INT,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,PASS_TDS,PASS_YDS,PLAYOFF_SOS,POS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_AVG_RK,PPR_BEST_RK,PPR_BOOM,PPR_BUST,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,PPR_RK,PPR_STARTER,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,PTS VS.,REC,REC_TDS,REC_YDS,RET TD,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,SAFE,SEASON_SOS,STARTER,STD.DEV_RK,TEAM,TGT,TIERS,WORST_RK,XPA,XPM,YDS
AARON JONES,,,,,,,,,,,,,9.5,,,,,,,0.0,0.0,,2.7,0.1,21.2,,66.0,12.9,0.2,59.6,,,3.9,,,,48.0,,10.0,20.0,,1.0,104.9,26.0,,,,,,,0.0,0.0,30.0,RB,21.3,15.0,20.0,3.4,4.0,31.0,12.3,61.1,33.0,10.0,20.0,134.9,17.7,9.0,18.0,3.1,4.0,25.0,62.0,50.0,9.4,6.0,76.0,,30.0,1.0,233.0,,64.0,142.0,2.0,656.0,,,16.0,40.0,9.3,MIN,43.0,6.0,95.0,,,
AARON RODGERS,,,,,,,,,,,,,0.0,,,1.0,0.0,0.0,0%,0.0,0.0,,,,,,119.3,0.0,0.0,0.0,1.0,,,,,0.0,83.0,,0.0,100.0,,1.0,0.0,15.0,,,1.0,0.0,0.0,0%,0.0,0.0,11.0,QB,20.1,13.0,20.0,2.4,4.0,27.0,,120.3,83.0,0.0,100.0,,,,,,,,118.0,0.0,14.6,9.0,163.0,,,,,,116.0,0.0,0.0,0.0,1.0,,15.0,0.0,12.6,NYJ,,8.0,152.0,,,0.0
ADAM THIELEN,,,,,,,,,,,,,7.5,,,,,,,0.0,0.0,,6.1,0.2,59.6,,176.5,0.1,0.0,0.4,,,8.1,,,,120.0,,13.0,31.0,,2.0,128.0,17.0,,,,,,,0.0,0.0,18.0,WR,67.5,49.0,63.0,6.7,7.0,88.0,13.6,151.3,81.0,19.0,19.0,231.0,60.0,38.0,61.0,8.0,6.0,83.0,145.0,50.0,28.2,9.0,267.0,,103.0,4.0,1014.0,,161.0,1.0,0.0,6.0,,,13.0,25.0,24.6,CAR,137.0,10.0,271.0,,,
ADAM TRAUTMAN,,,,,,,,,,,,,2.3,,,,,,,0.0,0.0,,1.3,0.2,12.0,,356.2,0.0,0.0,0.0,,,2.1,,,,296.0,,0.0,81.0,,2.0,38.4,30.0,,,,,,,0.0,0.0,30.0,TE,55.5,45.0,53.0,6.8,7.0,69.0,3.6,358.7,300.0,0.0,81.0,60.4,55.5,45.0,54.0,6.4,7.0,69.0,406.0,6.0,28.1,15.0,391.0,,22.0,3.0,204.0,,409.0,0.0,0.0,0.0,,,25.0,19.0,29.1,DEN,35.0,15.0,391.0,,,
ADONAI MITCHELL,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,,173.6,0.0,0.0,0.0,,,0.0,,,,106.0,,0.0,0.0,,3.0,0.0,22.0,,,,,,,0.0,0.0,26.0,WR,66.1,47.0,64.0,7.3,7.0,92.0,0.0,176.7,108.0,0.0,0.0,0.0,68.1,46.0,65.0,9.0,7.0,108.0,171.0,0.0,28.7,10.0,294.0,,0.0,0.0,0.0,,165.0,0.0,0.0,0.0,,,19.0,0.0,27.7,IND,0.0,10.0,289.0,,,
AIDAN OCONNELL,,,,,,,,,,,,,12.1,,,31.2,19.4,0.6,62%,1.1,201.6,,,,,,298.7,1.5,0.1,1.0,2.2,,,,,201.6,178.0,,0.0,80.0,,2.0,132.8,21.0,,,343.0,213.0,7.0,62%,12.0,2218.0,14.0,QB,34.9,28.0,35.0,1.9,5.0,38.0,,298.7,192.0,0.0,80.0,,,,,,,,300.0,20.0,29.1,13.0,338.0,,,,,,297.0,17.0,1.0,11.0,24.0,,21.0,20.0,30.0,LV,,13.0,338.0,,,2218.0
AINIAS SMITH,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,,361.9,0.0,0.0,0.0,,,0.0,,,,293.0,,0.0,0.0,,5.0,0.0,6.0,,,,,,,0.0,0.0,7.0,WR,130.8,105.0,138.0,9.3,10.0,141.0,0.0,354.3,290.0,0.0,0.0,0.0,130.6,105.0,138.0,9.6,10.0,143.0,393.0,0.0,31.2,15.0,383.0,,0.0,0.0,0.0,,397.0,0.0,0.0,0.0,,,11.0,0.0,28.3,PHI,0.0,15.0,396.0,,,
AJ BARNER,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,,376.3,0.0,0.0,0.0,,,0.0,,,,353.0,,0.0,0.0,,0.0,0.0,27.0,,,,,,,0.0,0.0,18.0,TE,60.4,51.0,62.0,6.0,7.0,69.0,0.0,373.4,354.0,0.0,0.0,0.0,59.9,50.0,62.0,5.8,7.0,69.0,483.0,0.0,16.4,16.0,394.0,,0.0,0.0,0.0,,479.0,0.0,0.0,0.0,,,29.0,0.0,17.5,SEA,0.0,16.0,394.0,,,
AJ BROWN,,,,,,,,,,,,,10.8,,,,,,,0.0,0.0,,6.2,0.4,85.6,,9.8,0.0,0.0,0.0,,,9.3,,,,4.0,,19.0,13.0,,1.0,183.6,6.0,,,,,,,0.0,0.0,7.0,WR,6.4,3.0,6.0,1.2,2.0,11.0,17.0,10.0,7.0,19.0,13.0,289.6,6.7,5.0,6.0,1.1,2.0,11.0,9.0,69.0,1.8,2.0,19.0,,106.0,7.0,1456.0,,9.0,0.0,0.0,0.0,,,11.0,56.0,2.3,PHI,158.0,2.0,20.0,,,
AJ DILLON,,,,,,,,,,,,,6.4,,,,,,,0.0,0.0,,1.5,0.0,14.9,,216.8,11.9,0.1,40.9,,,1.9,,,,140.0,,0.0,27.0,,3.0,95.6,29.0,,,,,,,0.0,0.0,15.0,RB,63.3,47.0,62.0,7.9,7.0,86.0,7.8,219.7,142.0,0.0,33.0,117.6,62.9,47.0,62.0,8.0,7.0,88.0,217.0,20.0,36.4,11.0,312.0,,22.0,0.0,223.0,,218.0,178.0,2.0,613.0,,,29.0,33.0,35.4,GB,28.0,11.0,308.0,,,
